inventory_id,product_id,stock,last_stock_date
1,1,55,2024-04-08
2,2,39,2024-02-02
3,3,92,2024-05-10
4,4,57,2024-04-18
5,5,87,2024-01-09
6,6,31,2024-03-07
7,7,87,2022-09-02
8,8,89,2022-08-08
9,9,30,2022-07-04
10,10,53,2023-06-03
11,11,60,2022-01-03
12,12,59,2023-06-08
13,13,39,2022-02-09
14,14,89,2023-08-22
15,15,40,2022-12-30
16,16,48,2023-10-04
17,17,57,2022-03-18
18,18,41,2023-02-23
19,19,95,2022-03-21
20,20,93,2022-06-28
21,21,56,2022-01-11
22,22,60,2023-09-12
23,23,70,2022-06-21
24,24,54,2023-05-19
25,25,24,2023-03-28
26,26,23,2023-02-20
27,27,60,2023-10-20
28,28,71,2022-08-04
29,29,42,2022-04-18
30,30,74,2022-10-09
31,31,65,2023-12-03
32,32,28,2022-12-29
33,33,69,2023-08-08
34,34,55,2023-11-12
35,35,67,2023-02-02
36,36,36,2022-01-23
37,37,35,2023-12-12
38,38,91,2022-12-19
39,39,85,2022-12-07
40,40,67,2023-02-23
41,41,25,2023-09-20
42,42,89,2023-10-13
43,43,70,2023-10-25
44,44,50,2023-04-30
45,45,76,2023-03-16
46,46,47,2023-11-29
47,47,25,2022-09-02
48,48,83,2022-10-27
49,49,41,2023-06-24
50,50,76,2023-05-30
51,51,66,2023-10-09
52,52,49,2023-01-30
53,53,88,2022-05-05
54,54,48,2022-08-01
55,55,84,2023-10-22
56,56,51,2022-11-06
57,57,24,2022-10-24
58,58,75,2023-01-26
59,59,22,2023-01-15
60,60,79,2022-07-29
61,61,28,2022-10-06
62,62,94,2022-02-09
63,63,89,2023-08-01
64,64,94,2022-09-29
65,65,68,2022-12-27
66,66,26,2022-06-06
67,67,34,2023-04-01
68,68,94,2022-07-25
69,69,39,2022-03-28
70,70,57,2023-01-28
71,71,92,2022-12-27
72,72,86,2022-12-06
73,73,63,2022-07-20
74,74,66,2022-09-11
75,75,99,2022-04-09
76,76,59,2022-05-11
77,77,61,2022-12-26
78,78,94,2023-05-25
79,79,61,2023-03-26
80,80,84,2022-12-27
81,81,42,2022-03-01
82,82,81,2023-09-19
83,83,39,2023-03-24
84,84,63,2022-08-07
85,85,41,2023-06-04
86,86,98,2022-01-25
87,87,63,2022-03-01
88,88,86,2023-05-09
89,89,68,2022-06-22
90,90,40,2023-10-25
91,91,86,2022-11-19
92,92,23,2022-12-02
93,93,89,2022-07-02
94,94,65,2023-12-19
95,95,93,2023-02-21
96,96,85,2023-07-03
97,97,77,2023-04-07
98,98,81,2022-04-03
99,99,28,2023-01-14
100,100,36,2022-04-10
101,101,54,2022-07-23
102,102,94,2023-05-30
103,103,28,2022-02-01
104,104,93,2022-08-28
105,105,72,2023-04-09
106,106,59,2023-10-22
107,107,58,2022-08-09
108,108,29,2022-08-20
109,109,29,2023-05-03
110,110,88,2022-09-02
111,111,34,2022-07-26
112,112,99,2023-11-19
113,113,76,2022-06-22
114,114,88,2022-06-11
115,115,39,2023-05-27
116,116,41,2022-05-01
117,117,39,2023-02-12
118,118,20,2022-03-25
119,119,92,2023-09-21
120,120,88,2023-03-29
121,121,74,2022-04-17
122,122,89,2023-05-14
123,123,38,2022-01-29
124,124,62,2023-01-24
125,125,97,2023-10-11
126,126,52,2022-01-24
127,127,60,2022-11-30
128,128,95,2023-08-25
129,129,98,2023-05-28
130,130,93,2023-10-24
131,131,78,2023-05-27
132,132,65,2023-09-11
133,133,23,2023-05-15
134,134,52,2023-01-03
135,135,69,2022-03-11
136,136,79,2023-01-06
137,137,98,2023-01-10
138,138,72,2022-11-15
139,139,61,2022-04-05
140,140,42,2022-11-17
141,141,27,2023-01-12
142,142,81,2023-05-08
143,143,24,2023-01-23
144,144,96,2023-02-20
145,145,48,2022-01-14
146,146,69,2022-06-07
147,147,49,2023-08-10
148,148,97,2022-07-20
149,149,45,2022-11-21
150,150,21,2023-12-23
151,151,51,2023-04-13
152,152,63,2023-04-28
153,153,48,2023-03-09
154,154,59,2022-06-10
155,155,84,2022-01-04
156,156,65,2023-10-20
157,157,97,2022-04-06
158,158,42,2023-05-10
159,159,93,2022-12-25
160,160,94,2023-04-13
161,161,92,2023-01-30
162,162,84,2022-08-28
163,163,70,2023-02-16
164,164,73,2023-02-28
165,165,42,2023-05-30
166,166,27,2022-07-26
167,167,71,2023-10-11
168,168,47,2022-10-03
169,169,52,2023-08-22
170,170,44,2023-06-24
171,171,35,2022-02-23
172,172,96,2022-08-14
173,173,85,2023-10-02
174,174,63,2023-06-09
175,175,81,2022-12-20
176,176,95,2022-06-20
177,177,51,2023-05-24
178,178,64,2022-01-12
179,179,37,2022-10-19
180,180,73,2022-03-04
181,181,50,2022-12-21
182,182,92,2023-09-19
183,183,99,2022-03-18
184,184,25,2023-02-26
185,185,83,2023-05-07
186,186,21,2022-10-26
187,187,29,2022-10-08
188,188,85,2022-12-26
189,189,46,2023-05-03
190,190,78,2022-04-14
191,191,73,2023-11-22
192,192,99,2022-08-01
193,193,99,2022-10-11
194,194,20,2022-08-18
195,195,38,2023-06-01
196,196,62,2023-11-11
197,197,75,2023-08-29
198,198,76,2023-07-18
199,199,28,2023-12-18
200,200,71,2022-04-16
201,201,81,2023-04-07
202,202,73,2022-09-10
203,203,34,2023-01-02
204,204,96,2023-07-07
205,205,25,2023-06-25
206,206,41,2022-08-05
207,207,91,2022-07-10
208,208,74,2022-04-24
209,209,76,2023-01-11
210,210,42,2022-03-17
211,211,66,2023-09-27
212,212,65,2022-02-27
213,213,92,2022-02-22
214,214,93,2023-07-17
215,215,56,2022-06-03
216,216,87,2022-02-08
217,217,80,2022-01-30
218,218,79,2022-04-01
219,219,81,2023-08-04
220,220,50,2022-03-12
221,221,25,2023-11-08
222,222,23,2022-10-19
223,223,50,2023-04-17
224,224,29,2022-01-22
225,225,83,2022-05-28
226,226,45,2022-01-08
227,227,20,2022-09-28
228,228,82,2023-08-20
229,229,29,2023-06-14
230,230,20,2023-03-27
231,231,23,2023-03-13
232,232,48,2023-06-15
233,233,47,2023-10-05
234,234,58,2023-04-05
235,235,61,2023-11-27
236,236,25,2022-04-06
237,237,72,2022-08-21
238,238,35,2023-10-12
239,239,86,2022-11-29
240,240,94,2023-07-24
241,241,76,2022-12-05
242,242,49,2023-08-04
243,243,61,2023-03-05
244,244,79,2022-04-05
245,245,28,2022-01-09
246,246,22,2022-03-01
247,247,88,2022-06-17
248,248,45,2022-11-09
249,249,49,2023-06-09
250,250,42,2022-03-25
251,251,53,2023-04-17
252,252,98,2022-12-04
253,253,67,2023-07-04
254,254,48,2023-08-02
255,255,37,2022-06-30
256,256,22,2022-08-18
257,257,55,2022-05-19
258,258,97,2022-08-27
259,259,95,2023-08-25
260,260,31,2022-07-26
261,261,52,2023-10-11
262,262,30,2022-04-24
263,263,31,2023-02-09
264,264,99,2022-09-01
265,265,76,2022-03-22
266,266,57,2022-02-28
267,267,24,2022-12-22
268,268,79,2022-10-16
269,269,31,2023-08-01
270,270,45,2022-09-22
271,271,85,2023-10-06
272,272,96,2022-01-11
273,273,67,2022-06-09
274,274,73,2023-12-25
275,275,81,2022-09-27
276,276,48,2022-09-03
277,277,55,2023-10-10
278,278,89,2022-04-01
279,279,64,2022-05-11
280,280,26,2022-02-09
281,281,38,2022-01-26
282,282,57,2023-01-16
283,283,78,2022-04-21
284,284,98,2022-09-18
285,285,77,2023-09-30
286,286,69,2023-08-19
287,287,62,2023-07-23
288,288,84,2023-04-09
289,289,58,2022-11-14
290,290,92,2022-05-11
291,291,29,2022-12-08
292,292,31,2022-01-19
293,293,32,2023-09-25
294,294,71,2022-02-08
295,295,44,2022-09-15
296,296,78,2022-08-21
297,297,42,2023-06-20
298,298,73,2022-09-20
299,299,96,2023-07-17
300,300,94,2022-03-03
301,301,90,2022-07-06
302,302,96,2023-03-22
303,303,48,2022-09-27
304,304,93,2023-02-13
305,305,61,2023-01-01
306,306,70,2022-01-18
307,307,74,2022-03-20
308,308,91,2022-07-15
309,309,41,2023-07-11
310,310,48,2023-09-26
311,311,81,2022-04-22
312,312,25,2023-05-21
313,313,84,2023-05-10
314,314,87,2023-05-19
315,315,63,2022-09-21
316,316,95,2023-06-14
317,317,68,2022-06-25
318,318,79,2023-07-04
319,319,48,2023-07-07
320,320,95,2022-01-26
321,321,62,2023-11-21
322,322,71,2022-12-01
323,323,24,2022-11-28
324,324,81,2022-01-10
325,325,95,2022-06-12
326,326,54,2023-07-22
327,327,87,2022-09-13
328,328,47,2023-07-27
329,329,60,2023-06-26
330,330,56,2023-12-22
331,331,81,2023-05-29
332,332,77,2023-02-05
333,333,42,2022-04-26
334,334,24,2022-10-10
335,335,95,2022-06-04
336,336,72,2023-06-29
337,337,48,2023-08-06
338,338,37,2023-11-09
339,339,28,2023-07-22
340,340,83,2022-03-30
341,341,86,2022-03-28
342,342,91,2022-02-02
343,343,69,2022-09-05
344,344,33,2023-06-27
345,345,22,2023-04-22
346,346,57,2023-11-14
347,347,83,2023-12-26
348,348,35,2023-06-19
349,349,49,2023-01-07
350,350,55,2023-08-03
351,351,48,2023-07-04
352,352,80,2023-09-26
353,353,66,2022-09-29
354,354,67,2023-03-19
355,355,85,2023-05-17
356,356,62,2022-04-03
357,357,20,2022-10-06
358,358,24,2022-09-10
359,359,77,2022-11-26
360,360,99,2023-06-22
361,361,81,2023-10-09
362,362,59,2022-03-11
363,363,52,2022-04-11
364,364,65,2022-03-06
365,365,76,2023-04-25
366,366,97,2023-04-01
367,367,69,2022-03-10
368,368,31,2022-06-13
369,369,34,2022-11-07
370,370,29,2022-12-05
371,371,20,2023-02-15
372,372,93,2023-12-23
373,373,28,2023-05-16
374,374,95,2022-11-14
375,375,21,2022-11-23
376,376,90,2023-07-27
377,377,45,2022-12-24
378,378,85,2023-01-22
379,379,21,2022-05-18
380,380,66,2022-05-21
381,381,48,2023-12-30
382,382,25,2023-03-05
383,383,47,2023-02-05
384,384,39,2022-09-01
385,385,91,2023-07-23
386,386,73,2023-11-29
387,387,41,2022-03-12
388,388,39,2022-08-19
389,389,45,2022-09-26
390,390,94,2022-05-10
391,391,62,2022-02-15
392,392,78,2022-04-03
393,393,86,2022-02-20
394,394,26,2023-10-14
395,395,40,2022-05-16
396,396,49,2023-06-27
